"Address","Occurrences","H1-1","H1-1 Length","Indexability","Indexability Status"
"https://lethaldemo.com/digct/news-events/","1","Blog","4","Indexable",""
"https://lethaldemo.com/digct/news-events/page/2/","1","Blog","4","Indexable",""
"https://lethaldemo.com/digct/geothermal-investigation/","1","Services","8","Indexable",""
"https://lethaldemo.com/digct/water-well-cleaning/","1","Services","8","Indexable",""
"https://lethaldemo.com/digct/mineral-exploration-drilling-to-500m/","1","Services","8","Indexable",""
"https://lethaldemo.com/digct/grouting-program-to-500m/","1","Services","8","Indexable",""
"https://lethaldemo.com/digct/construction-investigation/","1","Services","8","Indexable",""
"https://lethaldemo.com/digct/services/","1","Services","8","Indexable",""
"https://lethaldemo.com/digct/unlocking-australias-resources-with-digssmarter-sustainability-commitments-5/","1","Unlocking Australia’s resources with DIG’s smarter sustainability commitments.","78","Indexable",""
"https://lethaldemo.com/digct/unlocking-australias-resources-with-digssmarter-sustainability-commitments-6/","1","Unlocking Australia’s resources with DIG’s smarter sustainability commitments.","78","Indexable",""
"https://lethaldemo.com/digct/unlocking-australias-resources-with-digssmarter-sustainability-commitments-3/","1","Unlocking Australia’s resources with DIG’s smarter sustainability commitments.","78","Indexable",""
"https://lethaldemo.com/digct/unlocking-australias-resources-with-digssmarter-sustainability-commitments-4/","1","Unlocking Australia’s resources with DIG’s smarter sustainability commitments.","78","Indexable",""
"https://lethaldemo.com/digct/unlocking-australias-resources-with-digssmarter-sustainability-commitments/","1","Unlocking Australia’s resources with DIG’s smarter sustainability commitments.","78","Indexable",""
"https://lethaldemo.com/digct/unlocking-australias-resources-with-digssmarter-sustainability-commitments-2/","1","Unlocking Australia’s resources with DIG’s smarter sustainability commitments.","78","Indexable",""
"https://lethaldemo.com/digct/wa-mining-sector-prosperity-update-3/","1","WA mining sector prosperity update","34","Indexable",""
"https://lethaldemo.com/digct/wa-mining-sector-prosperity-update-2/","1","WA mining sector prosperity update","34","Indexable",""
"https://lethaldemo.com/digct/wa-mining-sector-prosperity-update/","1","WA mining sector prosperity update","34","Indexable",""
