"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://lethaldemo.com/digct/","2","Powering Innovation for Next Gen Drilling","41","Lorem ipsum dolor sit amet","26","Indexable",""
"https://lethaldemo.com/digct/projects/nifty-western-australia/","1","Our people are our greatest asset. Your future at DIG CT.","57","","0","Indexable",""
"https://lethaldemo.com/digct/wa-mining-sector-prosperity-update-3/","1","Our people are our greatest asset. Your future at DIG CT.","57","","0","Indexable",""
"https://lethaldemo.com/digct/geothermal-investigation/","1","Our people are our greatest asset. Your future at DIG CT.","57","","0","Indexable",""
"https://lethaldemo.com/digct/projects/gawler-craton-south-australia/","1","Our people are our greatest asset. Your future at DIG CT.","57","","0","Indexable",""
"https://lethaldemo.com/digct/ct-drilling/","1","Our people are our greatest asset. Your future at DIG CT.","57","","0","Indexable",""
"https://lethaldemo.com/digct/water-well-cleaning/","1","Our people are our greatest asset. Your future at DIG CT.","57","","0","Indexable",""
"https://lethaldemo.com/digct/sitemap/","2","Pages","5","Our people are our greatest asset. Your future at DIG CT.","57","Indexable",""
"https://lethaldemo.com/digct/about-us/","2","Trusted globally by next gen industry & mining clients","54","Meet Our People","15","Indexable",""
"https://lethaldemo.com/digct/mineral-exploration-drilling-to-500m/","2","Lorem ipsum dolor sit amet consectetur adipisicing elit","55","Lorem ipsum dolor sit amet consectetur adipisicing elit","55","Indexable",""
"https://lethaldemo.com/digct/excellence/","1","Our people are our greatest asset. Your future at DIG CT.","57","","0","Indexable",""
"https://lethaldemo.com/digct/employee-portal/","1","Our people are our greatest asset. Your future at DIG CT.","57","","0","Indexable",""
"https://lethaldemo.com/digct/news-events/","2","Unlocking Australia’s resources with DIG’s smarter sustainability commitments.","78","Unlocking Australia’s resources with DIG’s smarter sustainability commitments.","78","Indexable",""
"https://lethaldemo.com/digct/partners-clients/","1","Our people are our greatest asset. Your future at DIG CT.","57","","0","Indexable",""
"https://lethaldemo.com/digct/projects/moonera-western-australia/","1","Our people are our greatest asset. Your future at DIG CT.","57","","0","Indexable",""
"https://lethaldemo.com/digct/privacy-policy/","2","Who we are","10","Comments","8","Indexable",""
"https://lethaldemo.com/digct/grouting-program-to-500m/","1","Our people are our greatest asset. Your future at DIG CT.","57","","0","Indexable",""
"https://lethaldemo.com/digct/unlocking-australias-resources-with-digssmarter-sustainability-commitments-5/","1","Our people are our greatest asset. Your future at DIG CT.","57","","0","Indexable",""
"https://lethaldemo.com/digct/construction-investigation/","1","Our people are our greatest asset. Your future at DIG CT.","57","","0","Indexable",""
"https://lethaldemo.com/digct/contact/","1","Work with DIG CT","16","","0","Indexable",""
"https://lethaldemo.com/digct/projects/","1","Our people are our greatest asset. Your future at DIG CT.","57","","0","Indexable",""
"https://lethaldemo.com/digct/services/","2","Trusted globally by next gen industry & mining clients","54","Our Drilling Services","21","Indexable",""
"https://lethaldemo.com/digct/unlocking-australias-resources-with-digssmarter-sustainability-commitments-6/","1","Our people are our greatest asset. Your future at DIG CT.","57","","0","Indexable",""
"https://lethaldemo.com/digct/careers/","1","Our people are our greatest asset. Your future at DIG CT.","57","","0","Indexable",""
"https://lethaldemo.com/digct/projects/future-planned-projects/","1","Our people are our greatest asset. Your future at DIG CT.","57","","0","Indexable",""
"https://lethaldemo.com/digct/unlocking-australias-resources-with-digssmarter-sustainability-commitments-3/","1","Our people are our greatest asset. Your future at DIG CT.","57","","0","Indexable",""
"https://lethaldemo.com/digct/wa-mining-sector-prosperity-update-2/","1","Our people are our greatest asset. Your future at DIG CT.","57","","0","Indexable",""
"https://lethaldemo.com/digct/unlocking-australias-resources-with-digssmarter-sustainability-commitments-4/","1","Our people are our greatest asset. Your future at DIG CT.","57","","0","Indexable",""
"https://lethaldemo.com/digct/news-events/page/2/","2","Unlocking Australia’s resources with DIG’s smarter sustainability commitments.","78","Unlocking Australia’s resources with DIG’s smarter sustainability commitments.","78","Indexable",""
"https://lethaldemo.com/digct/unlocking-australias-resources-with-digssmarter-sustainability-commitments/","1","Our people are our greatest asset. Your future at DIG CT.","57","","0","Indexable",""
"https://lethaldemo.com/digct/wa-mining-sector-prosperity-update/","1","Our people are our greatest asset. Your future at DIG CT.","57","","0","Indexable",""
"https://lethaldemo.com/digct/unlocking-australias-resources-with-digssmarter-sustainability-commitments-2/","1","Our people are our greatest asset. Your future at DIG CT.","57","","0","Indexable",""
