"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://lethaldemo.com/digct/","1","DIG CT","6","62","Indexable",""
"https://lethaldemo.com/digct/projects/nifty-western-australia/","1","Nifty, Western Australia – DIG CT","33","292","Indexable",""
"https://lethaldemo.com/digct/wa-mining-sector-prosperity-update-3/","1","WA mining sector prosperity update – DIG CT","43","399","Indexable",""
"https://lethaldemo.com/digct/geothermal-investigation/","1","Geothermal  Investigation – DIG CT","34","306","Indexable",""
"https://lethaldemo.com/digct/projects/gawler-craton-south-australia/","1","Gawler Craton, South Australia – DIG CT","39","354","Indexable",""
"https://lethaldemo.com/digct/ct-drilling/","1","CT Drilling – DIG CT","20","174","Indexable",""
"https://lethaldemo.com/digct/water-well-cleaning/","1","Water Well Cleaning – DIG CT","28","261","Indexable",""
"https://lethaldemo.com/digct/sitemap/","1","Sitemap – DIG CT","16","158","Indexable",""
"https://lethaldemo.com/digct/about-us/","1","About Us – DIG CT","17","165","Indexable",""
"https://lethaldemo.com/digct/mineral-exploration-drilling-to-500m/","1","Mineral Exploration  Drilling to 500m – DIG CT","46","398","Indexable",""
"https://lethaldemo.com/digct/excellence/","1","Excellence – DIG CT","19","178","Indexable",""
"https://lethaldemo.com/digct/employee-portal/","1","Employee Portal – DIG CT","24","228","Indexable",""
"https://lethaldemo.com/digct/news-events/","1","News & Events – DIG CT","22","216","Indexable",""
"https://lethaldemo.com/digct/partners-clients/","1","Partners & Clients – DIG CT","27","242","Indexable",""
"https://lethaldemo.com/digct/projects/moonera-western-australia/","1","Moonera, Western Australia – DIG CT","35","329","Indexable",""
"https://lethaldemo.com/digct/privacy-policy/","1","Privacy – DIG CT","16","149","Indexable",""
"https://lethaldemo.com/digct/grouting-program-to-500m/","1","Grouting Program to 500m – DIG CT","33","320","Indexable",""
"https://lethaldemo.com/digct/unlocking-australias-resources-with-digssmarter-sustainability-commitments-5/","1","Unlocking Australia’s resources with DIG’s smarter sustainability commitments. – DIG CT","87","787","Indexable",""
"https://lethaldemo.com/digct/construction-investigation/","1","Construction Investigation – DIG CT","35","317","Indexable",""
"https://lethaldemo.com/digct/contact/","1","Contact – DIG CT","16","154","Indexable",""
"https://lethaldemo.com/digct/projects/","1","Projects – DIG CT","17","157","Indexable",""
"https://lethaldemo.com/digct/services/","1","Services – DIG CT","17","158","Indexable",""
"https://lethaldemo.com/digct/unlocking-australias-resources-with-digssmarter-sustainability-commitments-6/","1","Unlocking Australia’s resources with DIG’s smarter sustainability commitments. – DIG CT","87","787","Indexable",""
"https://lethaldemo.com/digct/careers/","1","Careers – DIG CT","16","152","Indexable",""
"https://lethaldemo.com/digct/projects/future-planned-projects/","1","Future planned projects – DIG CT","32","293","Indexable",""
"https://lethaldemo.com/digct/unlocking-australias-resources-with-digssmarter-sustainability-commitments-3/","1","Unlocking Australia’s resources with DIG’s smarter sustainability commitments. – DIG CT","87","787","Indexable",""
"https://lethaldemo.com/digct/wa-mining-sector-prosperity-update-2/","1","WA mining sector prosperity update – DIG CT","43","399","Indexable",""
"https://lethaldemo.com/digct/unlocking-australias-resources-with-digssmarter-sustainability-commitments-4/","1","Unlocking Australia’s resources with DIG’s smarter sustainability commitments. – DIG CT","87","787","Indexable",""
"https://lethaldemo.com/digct/news-events/page/2/","1","News & Events – Page 2 – DIG CT","31","300","Indexable",""
"https://lethaldemo.com/digct/unlocking-australias-resources-with-digssmarter-sustainability-commitments/","1","Unlocking Australia’s resources with DIG’s smarter sustainability commitments. – DIG CT","87","787","Indexable",""
"https://lethaldemo.com/digct/wa-mining-sector-prosperity-update/","1","WA mining sector prosperity update – DIG CT","43","399","Indexable",""
"https://lethaldemo.com/digct/unlocking-australias-resources-with-digssmarter-sustainability-commitments-2/","1","Unlocking Australia’s resources with DIG’s smarter sustainability commitments. – DIG CT","87","787","Indexable",""
